time,sds.I[1]&blanket.TBR=1.05,sds.I[1]&blanket.TBR=1.08,sds.I[1]&blanket.TBR=1.1,sds.I[1]&blanket.TBR=1.12,sds.I[1]&blanket.TBR=1.15,sds.I[1]&blanket.TBR=1.18,sds.I[1]&blanket.TBR=1.2,sds.I[1]&blanket.TBR=1.22,sds.I[1]&blanket.TBR=1.25
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1.0,2679.652800062534,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062534,2679.652800062533,2679.652800062534,2679.652800062534
1.208062546643613,2613.000803497298,2613.000803497299,2613.000803497294,2613.000803497296,2613.000803497296,2613.000803497299,2613.000803497296,2613.0008034973,2613.000803497298
1.208062546643613,2613.000803497298,2613.000803497299,2613.000803497294,2613.000803497296,2613.000803497296,2613.000803497299,2613.000803497296,2613.0008034973,2613.000803497298
2.0,2440.964978964096,2440.964978931034,2440.964978909238,2440.964978887628,2440.964978855543,2440.964978823838,2440.964978802905,2440.964978782122,2440.964978751229
3.0,2275.31736930911,2275.317369295209,2275.317369286045,2275.31736927696,2275.317369263459,2275.317369250102,2275.317369241272,2275.317369232491,2275.317369219414
3.161938426291189,2248.588530519567,2248.588530717581,2248.588530850717,2248.58853098475,2248.588531187498,2248.588531392318,2248.588531530002,2248.588531668598,2248.588531878233
3.161938426291189,2248.588530519567,2248.588530717581,2248.588530850717,2248.58853098475,2248.588531187498,2248.588531392318,2248.588531530002,2248.588531668598,2248.588531878233
4.0,2122.625163373904,2122.625163539568,2122.625163647457,2122.625163753384,2122.625163908711,2122.625164059943,2122.625164158585,2122.625164255537,2122.625164397927
5.0,2000.759218705476,2000.759218886505,2000.759219004485,2000.75921912038,2000.759219290435,2000.759219456131,2000.759219564267,2000.759219670601,2000.75921982685
6.0,1903.629609691476,1903.62960989248,1903.62961002315,1903.629610151258,1903.629610338773,1903.629610520952,1903.62961063956,1903.629610755971,1903.629610926628
7.0,1825.811480851783,1825.811481128698,1825.811481307861,1825.811481482851,1825.811481737813,1825.811481984167,1825.811482143838,1825.811482299998,1825.811482527926
8.0,1763.039060499513,1763.039060966509,1763.039061268668,1763.039061563788,1763.039061993767,1763.039062409186,1763.039062678397,1763.039062941653,1763.039063325805
9.0,1711.985519342438,1711.985521572921,1711.985523027717,1711.985524457495,1711.985526556557,1711.985528602659,1711.985529938246,1711.985531251672,1711.985533181438
10.0,1670.057280584582,1670.057282404121,1670.057283591837,1670.057284759863,1670.057286475967,1670.057288150291,1670.057289244011,1670.05729032021,1670.057291902557
11.0,1635.236484506859,1635.236486692432,1635.236488117717,1635.236489518321,1635.236491574239,1635.23649357792,1635.236494885619,1635.236496171465,1635.236498060425
12.0,1605.950351997643,1605.95035449797,1605.950356127792,1605.950357728838,1605.950360078005,1605.950362366387,1605.950363859318,1605.950365326866,1605.950367481976
13.0,1580.974496880507,1580.974499328537,1580.974500920841,1580.974502482429,1580.974504769087,1580.974506991371,1580.974508438442,1580.974509858832,1580.974511940997
14.0,1559.355545686676,1559.355547012043,1559.355547873676,1559.355548718316,1559.35554995441,1559.355551154804,1559.355551935938,1559.35555270225,1559.355553824797
15.0,1540.350802070901,1540.350802613486,1540.350802963605,1540.350803304735,1540.350803800087,1540.35080427653,1540.350804584027,1540.350804883686,1540.350805318942
16.0,1523.382009576185,1523.382008445705,1523.382007708137,1523.382006982833,1523.382005916802,1523.382004875725,1523.382004194842,1523.38200352406,1523.382002536031
17.0,1507.998507633955,1507.998505950718,1507.998504827442,1507.998503703677,1507.998502017831,1507.998500332633,1507.998499209983,1507.998498088366,1507.998496408341
18.0,1493.849507796386,1493.849503027646,1493.849499853114,1493.849496683495,1493.84949194035,1493.84948721327,1493.849484072083,1493.849480940004,1493.84947694195
19.0,1480.662063339966,1480.66206147822,1480.662060203764,1480.662058904683,1480.662056913421,1480.662054875485,1480.662053493255,1480.662052093781,1480.662448646348
20.0,1468.223718050516,1468.223715271806,1468.223713438111,1468.223711619096,1468.223708917473,1468.22370624732,1468.223704484283,1468.223702734679,1468.224380239216
21.0,1456.369935372911,1456.369928763998,1456.369924450932,1456.369920209698,1456.369913978079,1456.369907896899,1456.369903923285,1456.369900012066,1456.369510504161
22.0,1444.970476688702,1444.970469644811,1444.970465003167,1444.9704604049,1444.970453588614,1444.970446869133,1444.9704424429,1444.970438059248,1444.969087793714
23.0,1433.924100935785,1433.924094880977,1433.924090877161,1433.924086900157,1433.924080985939,1433.924075134367,1433.924071268621,1433.924067431548,1433.922658678717
24.0,1423.153192617721,1423.1531874109,1423.153183971328,1423.153180557488,1423.153175485608,1423.153170473014,1423.153167164483,1423.153163882758,1423.151789653267
25.0,1412.596875504976,1412.596871392696,1412.59686867703,1412.59686598236,1412.596861980181,1412.59685802624,1412.59685541726,1412.596852830037,1412.595681529805
26.0,1402.207546907225,1402.207544284655,1402.207542546233,1402.207540816292,1402.207538238123,1402.207535681041,1402.20753398852,1402.207532306125,1402.20686323791
27.0,1391.948377271494,1391.948375474954,1391.948374288366,1391.948373110737,1391.948371361169,1391.948369631924,1391.948368490404,1391.94836735797,1391.948699719211
28.0,1381.790769919402,1381.790767939479,1381.790766640142,1381.79076535696,1381.790763461817,1381.790761601357,1381.790760379847,1381.79075917307,1381.79154648954
29.0,1371.711983599809,1371.711981485574,1371.71198007191,1371.71197865575,1371.711976528256,1371.711974398648,1371.71197297864,1371.711971559076,1371.7131837211
30.0,1361.694375243374,1361.694373245244,1361.694371882229,1361.694370496554,1361.69436837919,1361.694366219811,1361.694364759252,1361.694363283588,1361.696097839608
31.0,1351.724469397144,1351.724468759911,1351.72446832429,1351.724467880826,1351.724467202302,1351.724466509617,1351.724466040923,1351.72446556737,1351.726549056198
32.0,1341.791973595913,1341.791973529192,1341.791973455541,1341.791973359943,1341.791973177835,1341.791972952468,1341.791972779863,1341.791972590523,1341.794400893123
33.0,1331.888857738704,1331.888858244272,1331.888858555608,1331.888858847269,1331.888859249435,1331.888859611311,1331.888859831291,1331.888860035019,1331.891318824384
34.0,1322.008576216677,1322.008577186061,1322.008577816107,1322.008578433366,1322.008579335592,1322.008580209947,1322.008580777673,1322.008581333458,1322.010981996889
35.0,1312.146030842919,1312.146032326844,1312.146033315074,1312.146034301857,1312.146035778237,1312.146037248843,1312.146038225445,1312.146039198568,1312.148319220391
36.0,1302.297312116305,1302.297313257997,1302.297314013533,1302.297314764278,1302.297315880829,1302.297316985294,1302.297317714606,1303.811563674286,1309.085053213889
37.0,1292.459373614584,1292.459374689965,1292.459375404341,1292.459376116229,1292.45937717857,1296.428865243012,1300.172836524845,1303.811563674286,1309.085053213889
38.0,1282.629823830992,1282.629824912148,1282.629825634631,1284.511917803388,1290.604122034769,1296.428865243012,1300.172836524845,1302.297343143895,1302.299284272741
39.0,1272.80681667203,1275.93640016236,1280.291605116923,1284.511917803388,1290.604122034769,1292.459415593519,1292.459440688692,1292.459482325641,1292.460994055062
39.37397171420842,1269.134666761615,1275.93640016236,1280.291605116923,1282.629827328937,1282.629847173391,1282.629888669851,1282.629908069122,1282.629940659821,1282.63111798345
39.37397171420842,1269.134666761615,1272.806811230562,1272.8068031349,1272.806802960147,1272.806818603717,1272.806850822663,1272.806865929964,1272.806891169627,1272.807807946891
40.0,1262.988868938975,1262.988849510617,1262.988843218637,1262.988843148657,1262.988856292379,1262.988879739161,1262.988890020047,1262.988911229161,1262.989623607948
41.0,1253.174861085461,1253.174846034101,1253.174841673228,1253.17484252883,1253.174853325726,1253.174866617199,1253.174874365302,1253.174891289068,1253.175445161301
42.0,1243.363950779996,1243.363939417644,1243.363934951398,1243.363937705973,1243.363944945917,1243.363951780221,1243.363957945893,1243.363970961291,1243.364402474972
