tep_fep.to_SDS_Fraction[1],Doubling_Time,Self_Sufficiency_Time,Startup_Inventory,Required_TBR,Required_Self_Sufficiency_Time
0.0,8245.0,113.0,2762.82825392288,1.021484375,4519.0
0.1,7943.0,113.0,2612.5842914217005,1.0185546875,7706.0
0.2,7648.0,113.0,2461.249144516713,1.0185546875,5630.0
0.3,7358.0,112.0,2308.525415351699,1.0185546875,4533.0
0.4,7072.0,112.0,2153.9756127986966,1.015625,7771.0
0.5,6790.0,112.0,1996.96971826068,1.015625,5655.0
0.6,6510.0,111.0,1836.562821440486,1.015625,4547.0
0.7,6230.0,111.0,1671.223815818501,1.0126953125,7838.0
0.8,5947.0,111.0,1498.366479985621,1.0126953125,5680.0
0.9,5655.0,110.0,1313.223228638824,1.0126953125,4561.0
