time,sds.I[1]&plasma1.fb=0.04,sds.I[1]&plasma1.fb=0.06,sds.I[1]&plasma1.fb=0.08,sds.I[1]&plasma1.fb=0.1,sds.I[1]&plasma1.fb=0.12,sds.I[1]&plasma1.fb=0.14,sds.I[1]&plasma1.fb=0.16
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
0.8019885875409929,2614.6352572841,2679.652800062533,2759.734800062261,2807.784000062095,2839.816800061986,2862.69737149048,2879.85780006185
0.8019885875409929,2614.6352572841,2613.000803497294,2611.290403222949,2615.569230302654,2679.634625293173,2725.39562171497,2759.716369031319
1.0,2528.220807412902,2613.000803497294,2611.290403222949,2609.502211485846,2607.634274651278,2605.684524704743,2639.575706903486
2.0,2257.472813963264,2440.964978909238,2537.066872285966,2609.502211485846,2607.634274651278,2605.684524704743,2603.650773088512
2.359254045426702,2169.322828643526,2275.317369286045,2407.423339481306,2487.218397593226,2541.736281169211,2588.908785872779,2603.650773088512
2.359254045426702,2169.322828643526,2248.588530850717,2288.496340976807,2386.13417194885,2455.628271832862,2505.584655640692,2543.601968673035
3.0,2022.867246989646,2248.588530850717,2288.496340976807,2311.687455697972,2370.688887200085,2432.058542965612,2478.33236708767
4.0,1833.390379344078,2122.625163647457,2282.450061301749,2311.687455697972,2326.151418059551,2358.567447259548,2413.423370643401
5.0,1683.369763683602,2000.759219004485,2171.790681010963,2285.938331386233,2326.151418059551,2335.45334913037,2348.516118924274
6.0,1564.312332349137,1903.62961002315,2083.360794651738,2200.541747873106,2287.791396928759,2335.45334913037,2341.427009396453
7.0,1469.400216098156,1825.811481307861,2012.32252886096,2131.861380251874,2218.951628812073,2288.613265009021,2341.427009396453
8.0,1393.296233247151,1763.039061268668,1954.839276710824,2076.21887521006,2163.186044200216,2231.347983077502,2288.697904088363
9.0,1331.840151731346,1711.985523027717,1907.913818878277,2030.732642584456,2117.607424759894,2184.603202559242,2239.900911809731
10.0,1281.791909024347,1670.057283591837,1869.210756796165,1993.15631707608,2079.962913428537,2146.053084289143,2199.754232716548
11.0,1240.62772685652,1635.236488117717,1836.911105975104,1961.739879521896,2048.497417145879,2113.885212579727,2166.34488492184
12.0,1206.381917200121,1605.950356127792,1809.598429845772,1935.120767308127,2021.843976819041,2086.687427649253,2138.18251407539
13.0,1177.524057313079,1580.974500920841,1786.169206771444,1912.237713566913,1998.938292824734,2063.359857415817,2114.10637624407
14.0,1152.862222979672,1559.355547873676,1765.764341987593,1892.264235901722,1978.950962960248,2043.047730708639,2093.21254592417
15.0,1131.468153034442,1540.350802963605,1747.714468110803,1874.556697767863,1961.236140247921,2025.082028422954,2074.796943818746
16.0,1112.619000448748,1523.382007708137,1731.499106339653,1858.613804729474,1945.291642380334,2008.945736116118,2058.311355536484
17.0,1095.751765146834,1507.998504827442,1716.712622650953,1844.04521951611,1930.725787214986,1994.233587674945,2043.328860596135
18.0,1080.428024103338,1493.849499853114,1703.03905854628,1830.546896305308,1917.233276670077,1980.62921940322,2029.516953258417
19.0,1066.306351241332,1480.662060203764,1690.232236893599,1817.882190229352,1904.577174973904,1967.889650944071,2016.616705247123
20.0,1053.120820848845,1468.223713438111,1678.10009576009,1805.866835001353,1892.572619236989,1955.821706684323,2004.426452069364
21.0,1040.664360923667,1456.369924450932,1666.493599584249,1794.356977515915,1881.075516474169,1944.277471845441,1992.789145066546
22.0,1028.775891970755,1444.970465003167,1655.296195176902,1783.240748313613,1869.972929510317,1933.141333202769,1981.582480985615
23.0,1017.330024502582,1433.924090877161,1644.416822233938,1772.431036106013,1859.177825821237,1922.322943127883,1970.711225522528
24.0,1006.228365795948,1423.153183971328,1633.785281745836,1761.860078445832,1848.621821858293,1911.752029579852,1960.101340665379
25.0,995.3949329682266,1412.59686867703,1623.347728384689,1751.47509799737,1838.252578500806,1901.373909538313,1949.694896262663
26.0,984.7700743402314,1402.207542546233,1613.061581034356,1741.234952824417,1828.028444522411,1891.145845677805,1939.446819560328
27.0,974.3077886284092,1391.948374288366,1602.892339214579,1731.107610610546,1817.917639780534,1881.034670113704,1929.322059497247
