time,sds.I[1]&i_iss.T=2.0,sds.I[1]&i_iss.T=4.0,sds.I[1]&i_iss.T=6.0,sds.I[1]&i_iss.T=8.0,sds.I[1]&i_iss.T=10.0,sds.I[1]&i_iss.T=12.0
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1.0,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533
1.208062546643624,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294
1.208062546643624,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294
2.0,2440.964978909238,2440.964978909238,2440.964978909238,2440.964978909238,2440.964978909238,2440.964978909238
3.0,2275.317369286046,2275.317369286045,2275.317369286045,2275.317369286045,2275.317369286045,2275.317369286045
3.161956617558344,2248.585528075754,2248.588530850717,2248.589531755135,2248.590032203491,2248.590332471263,2248.590532649277
3.161956617558344,2248.585528075754,2248.588530850717,2248.589531755135,2248.590032203491,2248.590332471263,2248.590532649277
4.0,2133.403414229912,2122.625163647457,2118.693645890659,2116.659274767695,2115.416002027871,2114.57755158095
5.0,2042.183361915504,2000.759219004485,1984.05458338537,1975.06253055389,1969.44834504082,1965.610823961853
6.0,1982.907840975007,1903.62961002315,1868.544193393057,1848.924607579014,1836.416479608057,1827.752688850642
7.0,1943.087626738129,1825.811481307861,1769.25883425267,1736.454464718985,1715.110083606868,1700.132382567952
8.0,1915.078166783879,1763.039061268668,1683.711882644101,1636.049357986965,1604.415993893757,1581.933583428642
9.0,1894.233028448856,1711.985523027717,1609.794584966009,1546.291878078231,1503.324541295003,1472.403183733048
10.0,1877.73327644663,1670.057283591837,1545.721470965576,1465.930797217449,1410.921831734925,1370.848028202417
11.0,1863.869055822439,1635.236488117717,1489.981096237935,1393.861868077116,1326.380906069422,1276.630354455525
12.0,1851.603319197461,1605.950356127792,1441.294052892583,1329.110608651462,1248.95350785714,1189.163396836246
13.0,1840.307238956787,1580.974500920841,1398.577424708194,1270.817212449766,1177.962658544674,1107.907339991229
14.0,1829.599444478313,1559.355547873676,1360.914940489128,1218.222656032175,1112.795707502887,1032.365488191879
15.0,1819.247872660284,1540.350802963605,1327.530330724937,1170.657251057032,1052.898372855092,962.0808952603314
16.0,1809.112594298923,1523.382007708137,1297.76682654393,1127.529838786381,997.7690551057856,896.6331215133902
17.0,1799.108568809748,1507.998504827442,1271.068114022926,1088.318885348286,946.9539559321292,835.6353765830085
18.0,1789.184124182038,1493.849499853114,1246.963697490901,1052.56413254267,900.0424615214489,778.7317981237677
19.0,1779.30802655976,1480.662060203764,1225.055273638,1019.859433519493,856.6630493152506,725.5949870492071
20.0,1769.461266817927,1468.223713438111,1205.005728948208,989.846349781834,816.4795486985531,675.9237220877824
21.0,1759.632352170551,1456.369924450932,1186.529649427959,962.2085656528154,779.1877845580877,629.4408700787002
22.0,1749.814403800182,1444.970465003167,1169.385448568829,936.666941617298,744.5125333782274,585.8914604326736
23.0,1740.003023815731,1433.924090877161,1153.368644010703,912.9751492295716,712.2047694363083,545.0409262303447
24.0,1730.195614068727,1423.153183971328,1138.306163566449,890.9158084417649,682.039168630529,506.6735562806588
25.0,1720.390566652281,1412.59686867703,1124.051504344882,870.2970830522733,653.8118516788525,470.5908516291702
26.0,1710.586996123079,1402.207542546233,1110.480649258367,850.9496793435576,627.338343247149,436.6099787771627
27.0,1700.784392990437,1391.948374288366,1097.488618035306,832.7241991794509,602.4517260033086,404.5627604834732
28.0,1690.982427491248,1381.790766640142,1084.986550232322,815.488802569356,579.0009878824834,374.2947260523124
29.0,1681.180860636579,1371.71198007191,1072.899231144978,799.1271436077789,556.8495999998607,345.6635345907522
30.0,1671.379545727862,1361.694371882229,1061.162994593296,783.5365488967481,535.8739737595629,318.5380818394508
31.0,1661.57841176291,1351.72446832429,1049.723947991499,768.6264107796717,515.9620249257345,292.798193272173
32.0,1651.777423540787,1341.791973455541,1038.536471947968,754.3167922243042,497.0124641419274,268.332893140708
33.0,1641.976553583809,1331.888858555608,1027.561951178273,740.5372648486734,478.9338174243381,245.0403985464754
34.0,1632.175764174852,1322.008577816107,1016.767699715206,727.225611048119,461.6431618717257,222.8268148722314
35.0,1622.375083838762,1312.146033315074,1006.126085369307,714.3266346334299,445.0652545582337,201.6059610244233
36.0,1612.574498531428,1302.297314013533,995.6138001164012,701.7918300547345,429.1325154694389,181.2984191900442
37.0,1602.773985813331,1292.459375404341,985.2110486624124,689.5784805650763,413.7833764844723,161.8311282852685
38.0,1592.973512191103,1282.629825634631,974.9008074346904,677.6488003196376,398.9624229263861,143.136984672321
38.23797513493508,1590.641243019098,1280.291605116923,972.4591825259356,674.8478317723651,395.5075472409789,138.7952330285186
38.23797513493508,1590.641243019098,1280.291605116923,972.4591825259356,674.8478317723651,395.5075472409789,138.7952330285186
39.0,1583.173056660453,1272.8068031349,964.6685370844286,665.9689470739653,384.6190620433057,125.1538932337828
40.0,1573.372676357568,1262.988843218637,954.502596877818,654.5099257694214,370.7081158667577,107.8251779873047
41.0,1563.572368957466,1253.174841673228,944.392857324704,643.2459002684055,357.1884621868708,91.09857321313184
42.0,1553.772130440682,1243.363934951398,934.3306998167988,632.1539561633822,344.0228609489503,74.92591347433758
43.0,1543.971958389247,1233.555453263167,924.3088158931646,621.2138723167305,331.1776336184632,59.26291539936964
44.0,1534.171851328916,1223.748874184794,914.321027234928,610.4078084719065,318.622295605427,44.06883166151012
45.0,1524.371808363027,1213.943790180283,904.3621336829405,599.7200303378803,306.3292605099656,29.30616886904956
46.0,1514.571828955212,1204.139884779971,894.4276942864179,589.1366455334044,294.2735725682218,14.94043053928794
46.8201822218815,1506.534107280016,1196.09955280719,886.2953824494256,580.5255407189138,284.5469637211134,3.431748723853087
46.8201822218815,1506.534107280016,1196.09955280719,886.2953824494256,580.5255407189138,284.5469637211134,3.431748723853087
47.0,1504.777620356707,1194.342618589492,884.5196540410898,578.6511007142288,282.4383584820961,0.9455913240489612
48.0,1495.217735899393,1184.780350846102,874.8634113529235,568.4810784601859,271.0316191661735,-12.47901453015034
49.0,1486.010127930281,1175.570887706417,865.5742626134579,558.7351180311578,260.1530887260104,-25.24223214821673
