plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02018,0.49024,5.11719,1.17363,6282.0,102.0,4206.145388566118
0.02018,0.49024,8.89844,1.0791,,157.0,6085.101692080429
0.02018,0.50241,9.28906,1.09824,,132.0,6140.200980517155
0.02018,0.50241,10.69531,1.09824,,132.0,6799.271630109944
0.02018,0.50241,10.69531,1.13027,,115.0,6777.069662706637
0.02018,0.77011,5.11719,1.0791,,143.0,2691.491598963132
0.02018,0.77011,8.89844,1.0791,,143.0,3510.2999466035367
0.02018,0.77011,8.89844,1.17363,5338.0,100.0,3450.7547755685287
0.02018,0.90396,9.28906,1.13027,6123.0,110.0,2253.458375161053
0.02018,0.90396,10.69531,1.09824,9117.0,123.0,2401.043774253517
0.02053,0.32337,8.91406,1.24824,5810.0,91.0,7405.212910126075
0.02053,0.32337,11.63281,1.23184,7308.0,96.0,9112.708019240523
0.02053,0.32337,11.63281,1.24824,6715.0,94.0,9105.396791501415
0.02053,0.48155,5.49219,1.09707,,132.0,4428.08510936181
0.02053,0.48155,11.71094,1.24473,5741.0,93.0,7330.853843240159
0.02053,0.60323,8.91406,1.23184,4668.0,92.0,4901.746884624383
0.02053,0.60323,11.63281,1.24824,4814.0,92.0,5891.744365263145
0.02053,0.6745,5.49219,1.24473,3467.0,90.0,3221.1871531446886
0.02053,0.6745,11.71094,1.09707,,128.0,5172.116048426895
0.02053,0.6745,11.71094,1.24473,4436.0,92.0,5093.248446063981
0.02088,0.1704,7.03906,1.14121,,113.0,7278.148194487485
0.02088,0.1704,11.50781,1.10137,,136.0,10679.556192324972
0.02088,0.32163,6.80469,1.19004,7080.0,99.0,6038.207151660784
0.02088,0.32163,6.80469,1.19238,6967.0,99.0,6037.080510203365
0.02088,0.32163,10.02344,1.19238,8419.0,100.0,8023.784621056952
0.02088,0.58411,6.80469,1.19238,5376.0,98.0,4226.211057088265
0.02088,0.58411,10.02344,1.19004,6317.0,98.0,5445.275057137128
0.02088,0.92308,7.03906,1.10137,7821.0,121.0,1890.229086593956
0.02088,0.92308,7.03906,1.14121,5087.0,106.0,1866.109004881425
0.02088,0.92308,11.50781,1.14121,5384.0,107.0,2178.8194685507433
0.02123,0.30251,6.05469,1.07129,,236.0,5700.881071344341
0.02123,0.30251,6.05469,1.1877,6868.0,100.0,5619.044975577708
0.02123,0.30251,7.71094,1.1877,7646.0,100.0,6652.824970741483
0.02123,0.4746,5.53906,1.13652,8716.0,111.0,4354.600353274662
0.02123,0.4746,7.94531,1.20449,5863.0,96.0,5450.928593401958
0.02123,0.6519,6.05469,1.1877,4923.0,98.0,3478.8260597676954
0.02123,0.6519,7.71094,1.07129,,158.0,4068.973180257945
0.02123,0.76489,5.53906,1.13652,6348.0,109.0,2691.698627185528
0.02123,0.76489,5.53906,1.20449,3842.0,95.0,2657.8320056257544
0.02123,0.76489,7.94531,1.13652,6866.0,109.0,3197.9650197137935
0.02158,0.23298,4.58594,1.15566,8306.0,107.0,4986.466748457379
0.02158,0.23298,4.92969,1.15957,8241.0,106.0,5216.395169797775
0.02158,0.34075,5.50781,1.08105,,154.0,5068.4854143575885
0.02158,0.34075,6.47656,1.19746,6316.0,98.0,5557.3561549592
0.02158,0.47112,4.58594,1.15566,6809.0,106.0,3867.181404954624
0.02158,0.47112,4.58594,1.15957,6588.0,105.0,3865.0848762085793
0.02158,0.47112,4.92969,1.15566,6956.0,106.0,4027.211945156959
0.02158,0.48155,5.50781,1.08105,,147.0,4289.010568452007
0.02158,0.48155,5.50781,1.19746,5251.0,97.0,4217.7063648292515
0.02158,0.48155,6.47656,1.08105,,147.0,4731.104913001346
0.02193,0.75099,4.52344,1.22754,3265.0,91.0,2456.4782578247264
0.02193,0.75099,4.52344,1.22988,3226.0,91.0,2455.5188261273715
0.02193,0.75099,10.30469,1.22754,3954.0,92.0,3702.8055914451434
0.02193,0.79097,7.82031,1.1248,7256.0,112.0,2912.582954525287
0.02193,0.79097,9.10156,1.2459,3289.0,89.0,3086.891675008389
0.02193,0.82226,4.52344,1.22754,3045.0,91.0,2114.9277477934634
0.02193,0.82226,10.30469,1.22988,3492.0,91.0,3003.564373971429
0.02193,0.91438,7.82031,1.1248,5966.0,110.0,1956.018663692766
0.02193,0.91438,7.82031,1.2459,2647.0,88.0,1899.212939693794
0.02193,0.91438,9.10156,1.1248,6070.0,111.0,2051.0151122755124
0.02229,0.62062,10.74219,1.06582,,171.0,5143.878548587882
0.02229,0.62062,10.74219,1.17598,6502.0,100.0,5069.88016652669
0.02229,0.62062,11.96094,1.06582,,171.0,5537.7349794404745
0.02229,0.7336,4.69531,1.17168,4652.0,100.0,2579.2015971798232
0.02229,0.7336,8.22656,1.13652,7025.0,108.0,3399.048281010167
0.02229,0.86919,10.74219,1.06582,,152.0,2657.637903431193
0.02229,0.86919,11.96094,1.17598,4509.0,99.0,2723.3057154848134
0.02229,0.94394,4.69531,1.13652,4886.0,107.0,1555.063607319241
0.02229,0.94394,8.22656,1.13652,5050.0,107.0,1723.70116610193
0.02229,0.94394,8.22656,1.17168,3824.0,99.0,1705.664116949489
0.02264,0.17388,6.00781,1.20996,6235.0,96.0,6027.697209804963
0.02264,0.17388,9.97656,1.20996,8037.0,97.0,8776.490487873523
0.02264,0.17388,9.97656,1.21855,7637.0,95.0,8772.569722961925
0.02264,0.22603,8.52344,1.18301,8423.0,101.0,7378.658767257863
0.02264,0.22603,9.24219,1.18301,8786.0,101.0,7845.049142229542
0.02264,0.22603,9.24219,1.20098,7778.0,97.0,7836.385248693909
0.02264,0.3112,8.52344,1.20098,6905.0,97.0,6708.680288265551
0.02264,0.3112,9.24219,1.18301,8102.0,100.0,7132.295107633981
0.02264,0.31468,6.00781,1.21855,5317.0,94.0,5228.148908780733
0.02264,0.31468,9.97656,1.20996,7050.0,96.0,7512.214388351184
0.02299,0.1113,7.91406,1.2084,7442.0,96.0,7699.664480046195
0.02299,0.1113,9.82031,1.08887,,145.0,9170.57179079462
0.02299,0.14433,9.74219,1.11348,,123.0,8808.35455067702
0.02299,0.14433,10.02344,1.11348,,123.0,9007.032397876133
0.02299,0.14433,10.02344,1.19551,8946.0,99.0,8960.145686405547
0.02299,0.3929,9.74219,1.19551,6956.0,98.0,6610.37428938503
0.02299,0.3929,10.02344,1.11348,,120.0,6796.608309585664
0.02299,0.98913,7.91406,1.08887,7932.0,124.0,1366.25475392724
0.02299,0.98913,9.82031,1.08887,7960.0,124.0,1383.362923551501
0.02299,0.98913,9.82031,1.2084,2792.0,93.0,1319.604129170937
0.02334,0.24341,8.83594,1.1627,9610.0,104.0,7262.146474201982
0.02334,0.24341,8.83594,1.2416,5798.0,91.0,7225.491459954074
0.02334,0.24341,11.86719,1.2416,6808.0,95.0,9087.078223892357
0.02334,0.5789,8.83594,1.2416,4199.0,90.0,4602.7188788850635
0.02334,0.5789,11.86719,1.1627,7647.0,104.0,5675.352865078075
0.02334,0.58759,4.28906,1.15762,5665.0,103.0,3047.7043826131912
0.02334,0.58759,9.25781,1.15762,7109.0,103.0,4713.865537223438
0.02334,0.58759,9.25781,1.20996,4996.0,94.0,4688.933407090175
0.02334,0.72839,4.28906,1.20996,3537.0,93.0,2428.7129301067803
0.02334,0.72839,9.25781,1.15762,5931.0,103.0,3550.551542121668
0.02369,0.43636,4.41406,1.14434,7183.0,108.0,3701.623657251572
0.02369,0.43636,4.41406,1.23574,3872.0,91.0,3658.368317641717
0.02369,0.43636,5.13281,1.14434,7507.0,108.0,4026.116595480064
0.02369,0.70927,4.17969,1.20176,3730.0,94.0,2467.095448995113
0.02369,0.70927,6.64844,1.16816,5097.0,100.0,3057.638033328858
0.02369,0.93524,4.41406,1.14434,4503.0,104.0,1547.416547669562
0.02369,0.93524,5.13281,1.23574,2553.0,89.0,1543.330326295442
0.02369,0.94741,4.17969,1.16816,3690.0,99.0,1468.767593252248
0.02369,0.94741,4.17969,1.20176,2982.0,94.0,1453.441079757745
0.02369,0.94741,6.64844,1.20176,3046.0,94.0,1557.432754078397
0.02404,0.37726,7.41406,1.0709,,163.0,5434.054876732524
0.02404,0.37726,11.32031,1.22637,6145.0,94.0,7259.431259359779
0.02404,0.50067,7.41406,1.0709,,155.0,4633.197727637852
0.02404,0.50067,7.41406,1.22637,4516.0,92.0,4542.573059612274
0.02404,0.50067,11.32031,1.0709,,155.0,6172.412242716561
0.02404,0.52675,5.42969,1.19707,4712.0,96.0,3644.755306853044
0.02404,0.52675,9.08594,1.19316,5755.0,97.0,5011.93656851506
0.02404,0.7336,5.42969,1.19316,3998.0,96.0,2614.731872306401
0.02404,0.7336,5.42969,1.19707,3904.0,95.0,2612.9834710804075
0.02404,0.7336,9.08594,1.19707,4400.0,95.0,3381.5765950012474
0.02439,0.10782,6.46094,1.24004,5389.0,91.0,6322.075660018457
0.02439,0.10782,8.30469,1.18145,8698.0,101.0,7627.678495111575
0.02439,0.6606,6.88281,1.08418,,132.0,3400.6464799171877
0.02439,0.6606,8.85156,1.06309,,163.0,3939.2472520683027
0.02439,0.67972,6.46094,1.18145,4691.0,98.0,3122.425413547051
0.02439,0.67972,6.46094,1.24004,3373.0,89.0,3097.2323761138223
0.02439,0.67972,8.30469,1.24004,3610.0,89.0,3556.4185383943586
0.02439,0.88483,6.88281,1.06309,,150.0,2033.3081531461207
0.02439,0.88483,6.88281,1.08418,9865.0,128.0,2015.7346999091706
0.02439,0.88483,8.85156,1.08418,,128.0,2192.0672730495976
0.02475,0.23298,5.19531,1.08418,,142.0,4899.508781217094
0.02475,0.23298,5.19531,1.22402,4868.0,93.0,4819.56623347387
0.02475,0.23298,5.72656,1.08418,,142.0,5211.745917815973
0.02475,0.2521,4.92969,1.10801,,122.0,4641.7412472429805
0.02475,0.2521,7.89844,1.23691,5337.0,91.0,6276.286363148238
0.02475,0.29208,4.92969,1.23691,4289.0,91.0,4401.136247149909
0.02475,0.29208,7.89844,1.10801,,122.0,6077.979836263369
0.02475,0.29208,7.89844,1.23691,5167.0,91.0,6011.476406744216
0.02475,0.88831,5.19531,1.08418,9474.0,127.0,1835.892982697548
0.02475,0.88831,5.72656,1.22402,2846.0,91.0,1807.752270956348
0.0251,0.38595,10.07031,1.09355,,129.0,6411.8989413727395
0.0251,0.38595,11.35156,1.12715,,113.0,6983.429949890215
0.0251,0.41202,7.33594,1.1252,,113.0,4962.232904916396
0.0251,0.41202,8.36719,1.1252,,113.0,5420.280108381861
0.0251,0.41202,8.36719,1.1541,8051.0,104.0,5403.908989667587
0.0251,0.54065,10.07031,1.12715,9740.0,111.0,5117.57432180255
0.0251,0.54065,11.35156,1.09355,,127.0,5584.0952897586685
0.0251,0.54065,11.35156,1.12715,,112.0,5561.971244499503
0.0251,0.96653,7.33594,1.1541,4010.0,101.0,1447.226188638844
0.0251,0.96653,8.36719,1.1252,5178.0,108.0,1488.689169189489
0.02545,0.18952,10.63281,1.24043,6281.0,92.0,8184.15346144213
0.02545,0.18952,11.10156,1.19434,8367.0,99.0,8487.422190604237
0.02545,0.68493,6.14844,1.17988,4561.0,98.0,2936.2145435685247
0.02545,0.68493,10.36719,1.13535,7473.0,108.0,3948.9275846949477
0.02545,0.68493,10.36719,1.17988,5269.0,98.0,3926.10023628098
0.02545,0.85354,6.14844,1.13535,5364.0,106.0,2053.7951451176136
0.02545,0.85354,10.36719,1.17988,4135.0,97.0,2491.5988046009675
0.02545,0.85528,10.63281,1.19434,3787.0,95.0,2498.634715502785
0.02545,0.85528,11.10156,1.19434,3819.0,95.0,2549.0703561428813
0.02545,0.85528,11.10156,1.24043,2995.0,89.0,2529.7929573112056
0.0258,0.35292,7.64844,1.06738,,165.0,5403.800542133421
0.0258,0.35292,7.64844,1.22285,5065.0,92.0,5310.804898092478
0.0258,0.35292,7.86719,1.22285,5125.0,92.0,5414.784260919243
0.0258,0.43114,4.53906,1.06152,,183.0,3625.1492148039806
0.0258,0.43114,8.94531,1.17949,6563.0,99.0,5387.531100637768
0.0258,0.74056,7.64844,1.22285,3496.0,91.0,2886.855238322203
0.0258,0.74056,7.86719,1.06738,,146.0,3016.2066053245694
0.0258,0.80835,4.53906,1.17949,3841.0,97.0,2034.230060943707
0.0258,0.80835,8.94531,1.06152,,153.0,2728.104358589851
0.0258,0.80835,8.94531,1.17949,4278.0,97.0,2654.598883126798
0.02615,0.20169,8.74219,1.12598,,114.0,6856.870758605162
0.02615,0.20169,9.96094,1.11582,,118.0,7568.342352468315
0.02615,0.20169,9.96094,1.12598,,114.0,7561.891033416595
0.02615,0.40854,4.88281,1.05449,,632.0,3849.120003141434
0.02615,0.40854,10.16406,1.12559,,112.0,6040.766638721255
0.02615,0.79618,4.88281,1.05449,,172.0,2202.614181139741
0.02615,0.79618,4.88281,1.12559,6018.0,109.0,2149.45602095514
0.02615,0.79618,10.16406,1.05449,,172.0,2982.703817171192
0.02615,0.84312,8.74219,1.11582,6866.0,112.0,2388.8220419276176
0.02615,0.84312,9.96094,1.12598,6326.0,109.0,2521.4339787397284
0.0265,0.3338,8.77344,1.09629,,126.0,5917.984847712117
0.0265,0.3338,9.55469,1.11113,,118.0,6279.848270971602
0.0265,0.39464,5.28906,1.08262,,136.0,4004.274981929106
0.0265,0.39464,5.28906,1.23496,3965.0,90.0,3921.6274867399597
0.0265,0.39464,6.25781,1.23496,4191.0,90.0,4340.946317464264
0.0265,0.69884,5.28906,1.23496,3135.0,89.0,2583.414691141086
0.0265,0.69884,6.25781,1.08262,,130.0,2871.893053967402
0.0265,0.73882,8.77344,1.11113,8322.0,114.0,3114.574090511783
0.0265,0.73882,9.55469,1.09629,,121.0,3270.087029467802
0.0265,0.73882,9.55469,1.11113,8507.0,114.0,3260.4564337330976
0.02686,0.23472,4.30469,1.08145,,140.0,4120.55518998183
0.02686,0.23472,10.46094,1.14004,,109.0,7403.385593410375
