plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02039,0.98808,4.01722,1.05043,,619.0,1425.19505904207
0.02042,0.74178,4.85618,1.09328,,129.0,2758.9432985901803
0.02044,0.7097,8.98048,1.17549,5731.0,100.0,3993.957335893623
0.02061,0.22214,6.6604,1.15557,,108.0,6708.516341697601
0.0208,0.20731,5.4646,1.09912,,137.0,5929.398063385739
0.02097,0.72361,10.91798,1.1708,6097.0,101.0,4282.698805350845
0.02098,0.52623,4.98118,1.09797,,130.0,3883.085798526102
0.02102,0.97801,4.17028,1.09801,7289.0,121.0,1412.613267572539
0.02179,0.97418,4.20472,1.09887,7133.0,120.0,1417.899083975984
0.02183,0.95733,4.73118,1.08859,8495.0,126.0,1526.840752298611
0.02185,0.6958,7.04298,1.18018,5048.0,99.0,3410.749724113277
0.02202,0.45159,10.7854,1.18974,7377.0,99.0,6817.234960782929
0.0222,0.43677,9.5896,1.2462,5115.0,91.0,6316.873840695442
0.02237,0.73752,11.14452,1.16611,5963.0,102.0,3994.2807955838493
0.02239,0.31069,5.10618,1.10265,,128.0,4833.98415690304
0.02242,0.9641,4.35778,1.14644,4351.0,104.0,1432.007312839348
0.0232,0.96027,4.39222,1.14731,4295.0,103.0,1436.694392528878
0.02324,0.80713,4.60618,1.0839,,131.0,2213.367269941098
0.02325,0.68189,5.10548,1.18486,4446.0,97.0,2855.646348315534
0.02342,0.68105,9.0896,1.06495,,161.0,3953.0041256121253
0.02361,0.66622,10.2854,1.09151,,127.0,4347.555273033311
0.02378,0.75142,9.20702,1.16143,5510.0,101.0,3304.6228717638896
0.0238,0.10486,5.23118,1.10734,,126.0,5661.264552843484
0.02383,0.9502,4.54528,1.19488,3099.0,95.0,1455.759187575445
0.02461,0.94637,4.57972,1.19574,3072.0,94.0,1459.97369212512
0.02464,0.59158,4.48118,1.07922,,138.0,3040.157273785627
0.02466,0.66798,4.83202,1.18955,4197.0,96.0,2747.13201553982
0.02483,0.9105,4.9646,1.21963,2805.0,91.0,1635.810974373275
0.02502,0.89567,6.1604,1.16318,4092.0,100.0,1821.403024290035
0.02519,0.76533,7.26952,1.15674,5147.0,102.0,2732.7280899344737
0.0252,0.32041,5.35618,1.11203,,119.0,4502.465322597871
0.02524,0.93629,4.73278,1.24332,2413.0,88.0,1481.994674786516
0.02601,0.93246,4.76722,1.24418,2398.0,88.0,1485.917388066568
0.02605,0.37603,4.35618,1.07453,,147.0,3719.3503896945494
0.02606,0.65408,6.76952,1.19424,4340.0,95.0,3201.6255402901825
0.02623,0.84005,7.1604,1.12568,6023.0,109.0,2218.304914241839
0.02642,0.85488,5.9646,1.18213,3690.0,96.0,1967.948797962168
0.02659,0.77923,5.33202,1.15205,4859.0,102.0,2260.4928500002798
0.02661,0.53595,5.48118,1.11672,8588.0,114.0,3416.724310408799
0.02664,0.92238,4.92028,1.20824,2887.0,92.0,1541.485426798821
0.02742,0.91855,4.95472,1.20738,2893.0,92.0,1545.347994161464
0.02745,0.16048,4.23118,1.06984,,162.0,4284.989538375996
0.02747,0.64017,8.70702,1.19893,4469.0,94.0,3645.263477139766
0.02764,0.61059,11.2854,1.12901,8529.0,109.0,4546.992704988991
0.02783,0.62542,10.0896,1.07255,,139.0,4133.96582439473
0.028,0.79314,4.60548,1.14736,4786.0,103.0,2041.094542590838
0.02801,0.7515,5.60618,1.1214,6489.0,110.0,2383.5152080224716
0.02805,0.90848,5.10778,1.15981,3929.0,100.0,1607.608160827278
0.02883,0.90465,5.14222,1.15894,3941.0,100.0,1611.0188517838
0.02886,0.25506,4.10618,1.06515,,163.0,3766.8206832427823
0.02888,0.62627,10.64452,1.20361,4587.0,94.0,4079.694297203022
0.02905,0.38114,8.5896,1.2163,4969.0,92.0,5065.4395517082685
0.02923,0.39597,9.7854,1.22724,4872.0,91.0,5413.447513203842
0.0294,0.80705,6.54298,1.14268,5043.0,103.0,2186.556347764662
0.02942,0.96705,5.73118,1.12609,4832.0,107.0,1359.253534312463
0.02946,0.89457,5.29528,1.11137,6068.0,112.0,1677.039529809494
0.03023,0.89074,5.32972,1.11051,6098.0,112.0,1680.256630752756
0.03027,0.47061,4.01882,1.06047,,158.0,2958.516549162272
0.03028,0.61236,11.41798,1.2083,4530.0,94.0,4225.838888952589
0.03045,0.15169,4.4646,1.06162,,174.0,4138.104099122137
0.03064,0.16652,5.6604,1.11807,,114.0,4642.460974606822
0.03081,0.82095,8.48048,1.13799,5277.0,104.0,2284.6388702424265
0.03083,0.79741,5.85618,1.13078,5465.0,106.0,2101.632842965999
0.03086,0.88067,5.48278,1.06293,,140.0,1753.689299144207
0.03164,0.87683,5.51722,1.06207,,140.0,1756.431307792235
0.03167,0.68616,4.14382,1.05578,,156.0,2268.8016436559287
0.03169,0.59845,9.48048,1.21299,4104.0,92.0,3722.538069773731
0.03186,0.27777,7.6604,1.19307,5540.0,95.0,4902.0931832863225
0.03205,0.26294,6.4646,1.13662,8041.0,107.0,4461.80228557308
0.03222,0.83486,10.41798,1.1333,5493.0,105.0,2341.73314421971
0.03223,0.58186,5.98118,1.13547,6218.0,106.0,2958.378251502078
0.03227,0.86676,5.67028,1.08551,8468.0,122.0,1778.452959784986
0.03304,0.86293,5.70472,1.08637,8317.0,121.0,1779.828280976792
0.03308,0.9017,4.26882,1.05109,,154.0,1567.800455091477
0.0331,0.58455,7.54298,1.21768,3711.0,91.0,3231.2320236730966
0.03327,0.50722,11.7854,1.15224,7002.0,103.0,4806.973629942007
0.03345,0.49239,10.5896,1.2087,4685.0,93.0,4524.5583041791415
0.03362,0.84877,11.64452,1.12861,5634.0,106.0,2303.070325590149
0.03364,0.36631,6.10618,1.14015,6875.0,105.0,3753.1790206274472
0.03367,0.85285,5.85778,1.13394,4885.0,104.0,1791.281158113608
0.03445,0.84902,5.89222,1.13481,4833.0,104.0,1792.363505220454
0.03449,0.86275,4.39382,1.0536,,149.0,1678.387096039496
0.0345,0.57064,5.60548,1.22236,3346.0,90.0,2751.4903833787484
0.03467,0.73667,8.0896,1.10245,7851.0,114.0,2558.1632398632046
0.03486,0.72184,9.2854,1.05401,,152.0,2840.598869141824
0.03503,0.86267,9.70702,1.12393,5532.0,107.0,2014.4736385522344
0.03505,0.15077,6.23118,1.14484,7454.0,104.0,4503.314932604988
0.03508,0.83895,6.04528,1.18238,3434.0,95.0,1808.996291927833
0.03586,0.83512,6.07972,1.18324,3409.0,95.0,1809.921360086296
0.03589,0.6472,4.51882,1.05828,,145.0,2311.041475339423
0.03591,0.55673,4.33202,1.22705,3088.0,89.0,2435.573358856427
0.03608,0.96613,4.0354,1.24287,2195.0,87.0,1217.20204794673
0.03627,0.9513,5.1604,1.20068,2750.0,92.0,1306.902784575831
0.03644,0.87658,7.76952,1.11924,5480.0,107.0,1775.674113154253
0.03645,0.26478,6.35618,1.14953,6544.0,103.0,4004.9711363865363
0.03649,0.82504,6.23278,1.23082,2654.0,88.0,1829.696494090449
0.03726,0.82121,6.26722,1.23168,2640.0,88.0,1830.664461044242
0.0373,0.43166,4.64382,1.06297,,142.0,2896.222774192959
0.03731,0.54283,6.26952,1.23174,3233.0,89.0,2867.65129744276
0.03748,0.78442,8.1604,1.08818,8706.0,119.0,2241.974249653897
0.03767,0.79925,6.9646,1.14463,4613.0,101.0,2013.6673932468927
0.03784,0.89048,5.83202,1.11455,5478.0,108.0,1581.309710736673
0.03786,0.48033,6.48118,1.15422,5390.0,101.0,3154.208439364234
