plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02013,0.78066,4.51529,1.21687,3480.0,93.0,2430.7229586670364
0.02061,0.89305,9.92435,1.17356,4378.0,100.0,2373.369450560813
0.02084,0.52632,7.79701,1.09426,,133.0,5120.0734319538005
0.02128,0.30482,8.752,1.19747,7583.0,98.0,7263.706333617734
0.02162,0.91132,5.75709,1.23883,2680.0,89.0,1778.61074800434
0.02179,0.40085,10.60914,1.08065,,151.0,7366.336820832913
0.02236,0.906,10.92789,1.24325,2824.0,89.0,2195.2282804784386
0.02251,0.40689,6.21052,1.10828,,123.0,4886.409086440075
0.02283,0.54002,10.06997,1.15314,8223.0,105.0,5506.835989245159
0.02341,0.26181,7.09638,1.13112,,113.0,6077.891759474736
0.02381,0.27063,10.27374,1.20497,7376.0,97.0,7747.431359823138
0.0241,0.98371,9.41002,1.09824,6921.0,119.0,1403.769231905007
0.0244,0.49138,8.2877,1.12503,9987.0,113.0,4946.523536897221
0.0248,0.76866,5.80296,1.23263,3104.0,90.0,2444.1652586644154
0.02523,0.1057,8.24983,1.13737,,111.0,7411.619095846219
0.02541,0.16799,8.69268,1.23644,5870.0,91.0,7176.417729605844
0.02585,0.88782,7.77909,1.14663,4759.0,103.0,1980.578726742404
0.02615,0.26686,9.249,1.09361,,129.0,6699.652422837638
0.02646,0.46018,11.2393,1.19482,6263.0,97.0,5956.410244980203
0.02683,0.13595,8.78989,1.05635,,723.0,7268.065462916049
0.02709,0.92029,8.43427,1.12907,5245.0,107.0,1775.556644624432
0.02744,0.20499,5.29676,1.22613,4611.0,92.0,4625.479168532839
0.02798,0.33178,4.17931,1.13545,7427.0,108.0,3576.007584148959
0.0283,0.4499,9.96574,1.19076,5871.0,96.0,5255.986229300277
0.02866,0.71145,8.87618,1.20076,4026.0,94.0,3114.0455948602353
0.02886,0.9154,9.4723,1.20997,2971.0,92.0,1781.231304753274
0.0294,0.30134,11.81259,1.20683,6445.0,96.0,6950.906082196083
0.02971,0.6573,7.54366,1.14533,5885.0,103.0,3117.634468868143
0.03008,0.4371,4.29599,1.24829,3205.0,88.0,3065.7668649296015
0.0304,0.52973,11.89424,1.11511,,114.0,5033.452382656911
0.03083,0.68776,9.73282,1.07029,,136.0,3351.254782755722
0.03098,0.15321,6.03038,1.08601,,131.0,4869.4452790023515
0.03134,0.98993,6.80963,1.11801,5014.0,108.0,1244.185883777301
0.03184,0.42528,5.06951,1.23974,3410.0,89.0,3259.969363447256
0.03205,0.61676,5.73804,1.20958,3588.0,92.0,2736.206557920165
0.03246,0.62902,5.08479,1.16641,4513.0,99.0,2545.693098238552
0.03296,0.77483,10.33783,1.23835,3016.0,88.0,2656.3970474955554
0.03306,0.83104,11.44148,1.17313,4102.0,97.0,2413.6511294310008
0.03358,0.32979,9.44374,1.15001,7604.0,103.0,5152.417394474385
0.03377,0.45213,11.70996,1.1992,5311.0,95.0,5096.226427411631
0.03407,0.75105,8.73941,1.08575,9949.0,122.0,2610.7153257326163
0.03453,0.32714,5.62236,1.23802,3607.0,89.0,3611.637880278716
0.03498,0.31397,4.5748,1.0953,,120.0,3308.4645599927107
0.03542,0.94205,6.50405,1.13199,4514.0,104.0,1422.4554274605
0.03566,0.29233,11.75825,1.1887,6280.0,97.0,5965.954205917392
0.03593,0.17659,4.2488,1.22394,3792.0,91.0,3432.66981224785
0.03638,0.69636,11.17601,1.0909,,119.0,3175.4664829293065
0.0366,0.44773,10.9194,1.22714,4251.0,91.0,4577.356102774119
0.03704,0.94805,6.23711,1.14311,4040.0,101.0,1366.670502091116
0.03728,0.30745,11.66558,1.10772,,115.0,5667.9232782281815
0.03774,0.13353,8.17395,1.1516,7511.0,102.0,5160.118635021632
0.038,0.70908,4.71131,1.11174,6374.0,110.0,2064.4933740769184
0.03853,0.54178,7.2088,1.15443,5249.0,100.0,3058.773934087753
0.03876,0.40518,4.27117,1.16322,4739.0,99.0,2733.098229721399
0.03903,0.87441,9.29973,1.2375,2523.0,88.0,1776.92315069287
0.03935,0.32483,11.15543,1.14885,7414.0,103.0,5136.354144618788
0.03999,0.86721,9.16836,1.21873,2761.0,90.0,1794.348843103676
0.04006,0.92604,7.76304,1.05354,,142.0,1534.046962415599
0.04063,0.84879,6.82851,1.19512,3078.0,92.0,1719.374136310175
0.04085,0.28083,5.95311,1.11058,8658.0,112.0,3529.6746381119337
0.04143,0.28635,7.46807,1.17615,5197.0,97.0,3935.8688256577516
0.04165,0.51168,10.47573,1.24266,3453.0,88.0,3705.3988513587583
0.04212,0.35281,6.56096,1.22974,3518.0,89.0,3358.0538948140756
0.04229,0.68651,11.58112,1.18432,4109.0,95.0,2947.283467624714
0.04263,0.24855,4.07284,1.24943,2981.0,87.0,2839.5535147944647
0.04291,0.85485,7.47373,1.194,3069.0,92.0,1702.04447826724
0.0435,0.82597,8.85401,1.20563,3000.0,91.0,1904.34302704356
0.04379,0.86655,11.20831,1.13063,4909.0,104.0,1886.112370587567
0.04404,0.9388,10.36095,1.24211,2263.0,87.0,1408.712479346504
0.04439,0.46436,10.87719,1.07114,,129.0,3949.245910113859
0.04495,0.80343,7.65833,1.05071,,145.0,1962.500619180265
0.04507,0.61156,9.399,1.13151,5965.0,104.0,2900.8136442364817
0.04562,0.12579,7.32743,1.07568,,129.0,4230.376934973271
0.04574,0.66009,11.97251,1.22349,3327.0,90.0,2981.0287445513827
0.04627,0.55593,11.59822,1.14518,5829.0,102.0,3478.7478705731746
0.04643,0.81914,5.32067,1.14348,4207.0,101.0,1647.641564641141
0.04695,0.42388,6.90957,1.10206,8416.0,113.0,3053.3395304527257
0.04735,0.27565,4.97337,1.19831,3822.0,93.0,2891.971967432821
0.04749,0.94101,7.97688,1.18476,2951.0,93.0,1333.63828945676
0.04784,0.42221,6.32617,1.24972,2905.0,86.0,2822.4902491299913
0.04831,0.66692,4.00897,1.21321,2841.0,90.0,1819.51689092273
0.04874,0.8471,9.56049,1.06663,,127.0,1839.842644112756
0.04902,0.28434,9.50584,1.21624,4093.0,91.0,4043.736982291447
0.04935,0.39705,5.72682,1.05742,,140.0,2801.0948961745044
0.04973,0.14935,6.76216,1.16028,5494.0,99.0,3673.646697020013
0.05019,0.15545,11.86177,1.24731,4105.0,89.0,5199.987250111276
0.05045,0.27476,4.73358,1.18004,4114.0,95.0,2727.8886206190346
0.0508,0.75611,9.86026,1.13984,4758.0,101.0,2165.920412423914
0.05124,0.21537,8.16109,1.05534,,144.0,3880.5984527410774
0.05142,0.14006,9.52237,1.09106,,118.0,4517.027412756491
0.0519,0.49642,5.82217,1.07261,,125.0,2485.4158959990623
0.05203,0.92502,5.88885,1.17302,3131.0,95.0,1311.755009609602
0.05262,0.42824,8.03975,1.24409,3036.0,87.0,2998.387624222834
0.05293,0.98635,7.49167,1.11982,4489.0,105.0,1158.924400678275
0.05337,0.24309,6.17304,1.08886,,118.0,3132.055514439217
0.05357,0.35434,8.8199,1.16518,4970.0,97.0,3404.476335551773
0.05389,0.85997,8.31702,1.10649,5731.0,109.0,1631.273407345567
0.05436,0.27798,11.49725,1.05258,,146.0,4359.557108792912
0.05451,0.30961,11.68782,1.13459,7037.0,104.0,4207.064442125822
0.05503,0.11075,5.20731,1.14623,5509.0,101.0,3064.4575567747374
0.05519,0.75504,10.15614,1.2344,2652.0,87.0,2066.526034362524
0.05552,0.55446,10.81674,1.24905,2908.0,87.0,2924.9809148733557
0.05599,0.46187,11.38747,1.22505,3493.0,90.0,3387.3281547497236
0.05621,0.3135,4.02788,1.16759,4101.0,97.0,2335.0399707865545
0.0566,0.18693,7.515,1.14172,6018.0,102.0,3479.4069555710043
0.05712,0.71667,11.41802,1.07504,,122.0,2372.0738109574936
0.05727,0.14674,11.71896,1.24782,3803.0,89.0,4681.874564154851
0.05788,0.92327,9.49516,1.07324,8314.0,121.0,1428.392461757474
0.058,0.43515,7.63093,1.24451,2877.0,86.0,2724.698232559573
0.05834,0.42054,9.67466,1.17775,4354.0,95.0,3160.6028354348505
0.05881,0.37597,6.59782,1.23164,3022.0,88.0,2664.3394565461413
0.05909,0.65156,9.61614,1.24099,2694.0,87.0,2314.113398704906
0.05965,0.4576,9.01778,1.12407,6224.0,105.0,2905.708242706051
0.05997,0.59598,8.40259,1.06065,,131.0,2422.2764521682625
0.06036,0.63844,11.18785,1.08412,9090.0,117.0,2581.3585205715467
0.0605,0.82993,8.6269,1.24057,2345.0,86.0,1619.757678920789
0.06094,0.41743,8.26259,1.0864,9513.0,117.0,2878.7821762869953
0.06129,0.32061,5.55526,1.19561,3541.0,92.0,2526.8501563830396
0.06173,0.36524,9.85418,1.10496,8067.0,110.0,3295.641293480027
0.06196,0.7231,9.35174,1.07835,8893.0,119.0,2073.994614591585
0.06249,0.71286,4.08778,1.15499,3747.0,98.0,1606.799557079212
0.06278,0.38169,11.93881,1.09919,8974.0,113.0,3591.2454413995183
0.06294,0.94523,4.49678,1.21984,2322.0,88.0,1166.426910473148
0.06347,0.7476,10.99596,1.06589,,126.0,2102.6790120445216
0.06384,0.92941,9.78709,1.05439,,133.0,1391.595267188883
0.06401,0.22215,6.1162,1.14195,5301.0,101.0,2803.312409771007
