plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02,0.1,4.0,1.05,,10000.0,6191.0021101559105
0.02,0.1,4.0,1.11667,,127.0,5484.030515869586
0.02,0.1,4.0,1.18333,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.25,4900.0,92.0,5412.778958476463
0.02,0.1,4.0,1.05.1,,10000.0,6191.0021101559105
0.02,0.1,4.0,1.05.2,,10000.0,6191.0021101559105
0.02,0.1,4.0,1.11667.1,,127.0,5484.030515869586
0.02,0.1,4.0,1.11667.2,,127.0,5484.030515869586
0.02,0.1,4.0,1.11667.3,,127.0,5484.030515869586
0.02,0.1,4.0,1.11667.4,,127.0,5484.030515869586
0.02,0.1,4.0,1.11667.5,,127.0,5484.030515869586
0.02,0.1,4.0,1.11667.6,,127.0,5484.030515869586
0.02,0.1,4.0,1.18333.1,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.18333.2,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.18333.3,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.18333.4,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.18333.5,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.18333.6,7415.0,103.0,5443.522627902275
0.02,0.1,4.0,1.25.1,4900.0,92.0,5412.778958476463
0.02,0.1,6.66667,1.05,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.18333,9303.0,103.0,7724.812705382671
0.02,0.1,6.66667,1.25,6149.0,92.0,7694.062369832091
0.02,0.1,6.66667,1.05.1,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.05.2,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.05.3,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.05.4,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.05.5,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.05.6,,10000.0,8472.292949196279
0.02,0.1,6.66667,1.25.1,6149.0,92.0,7694.062369832091
0.02,0.1,9.33333,1.05,,10000.0,10753.49766795246
0.02,0.1,9.33333,1.11667,,127.0,10046.513514649983
0.02,0.1,9.33333,1.18333,,103.0,10005.866209321855
0.02,0.1,9.33333,1.25,7400.0,92.0,9974.781601046981
0.02,0.1,9.33333,1.05.1,,10000.0,10753.49766795246
0.02,0.1,9.33333,1.11667.1,,127.0,10046.513514649983
0.02,0.1,9.33333,1.11667.2,,127.0,10046.513514649983
0.02,0.1,9.33333,1.11667.3,,127.0,10046.513514649983
0.02,0.1,9.33333,1.11667.4,,127.0,10046.513514649983
0.02,0.1,9.33333,1.11667.5,,127.0,10046.513514649983
0.02,0.1,9.33333,1.11667.6,,127.0,10046.513514649983
0.02,0.1,9.33333,1.18333.1,,103.0,10005.866209321855
0.02,0.1,9.33333,1.18333.2,,103.0,10005.866209321855
0.02,0.1,9.33333,1.18333.3,,103.0,10005.866209321855
0.02,0.1,9.33333,1.18333.4,,103.0,10005.866209321855
0.02,0.1,9.33333,1.18333.5,,103.0,10005.866209321855
0.02,0.1,9.33333,1.25.1,7400.0,92.0,9974.781601046981
0.02,0.1,9.33333,1.25.2,7400.0,92.0,9974.781601046981
0.02,0.1,9.33333,1.25.3,7400.0,92.0,9974.781601046981
0.02,0.1,12.0,1.05,,10000.0,13034.63318630042
0.02,0.1,12.0,1.11667,,129.0,12327.39330679742
0.02,0.1,12.0,1.18333,,106.0,12285.253101460978
0.02,0.1,12.0,1.25,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.05.1,,10000.0,13034.63318630042
0.02,0.1,12.0,1.05.2,,10000.0,13034.63318630042
0.02,0.1,12.0,1.05.3,,10000.0,13034.63318630042
0.02,0.1,12.0,1.05.4,,10000.0,13034.63318630042
0.02,0.1,12.0,1.05.5,,10000.0,13034.63318630042
0.02,0.1,12.0,1.11667.1,,129.0,12327.39330679742
0.02,0.1,12.0,1.11667.2,,129.0,12327.39330679742
0.02,0.1,12.0,1.11667.3,,129.0,12327.39330679742
0.02,0.1,12.0,1.11667.4,,129.0,12327.39330679742
0.02,0.1,12.0,1.18333.1,,106.0,12285.253101460978
0.02,0.1,12.0,1.18333.2,,106.0,12285.253101460978
0.02,0.1,12.0,1.18333.3,,106.0,12285.253101460978
0.02,0.1,12.0,1.25.1,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.25.2,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.25.3,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.25.4,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.25.5,8655.0,97.0,12251.89599047563
0.02,0.1,12.0,1.25.6,8655.0,97.0,12251.89599047563
0.02,0.39667,4.0,1.05,,2947.0,4448.874510083457
0.02,0.39667,4.0,1.11667,,122.0,4150.141552154606
0.02,0.39667,4.0,1.18333,5916.0,101.0,4111.5583263134995
0.02,0.39667,4.0,1.25,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.05.1,,2947.0,4448.874510083457
0.02,0.39667,4.0,1.05.2,,2947.0,4448.874510083457
0.02,0.39667,4.0,1.05.3,,2947.0,4448.874510083457
0.02,0.39667,4.0,1.11667.1,,122.0,4150.141552154606
0.02,0.39667,4.0,1.11667.2,,122.0,4150.141552154606
0.02,0.39667,4.0,1.11667.3,,122.0,4150.141552154606
0.02,0.39667,4.0,1.11667.4,,122.0,4150.141552154606
0.02,0.39667,4.0,1.11667.5,,122.0,4150.141552154606
0.02,0.39667,4.0,1.25.1,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.25.2,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.25.3,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.25.4,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.25.5,3990.0,90.0,4081.726003038142
0.02,0.39667,4.0,1.25.6,3990.0,90.0,4081.726003038142
0.02,0.39667,6.66667,1.05,,2947.0,5978.174378544578
0.02,0.39667,6.66667,1.11667,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.18333,7100.0,101.0,5640.856914382064
0.02,0.39667,6.66667,1.25,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.05.1,,2947.0,5978.174378544578
0.02,0.39667,6.66667,1.11667.1,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.2,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.3,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.4,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.5,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.6,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.7,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.8,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.11667.9,,122.0,5679.442445945775
0.02,0.39667,6.66667,1.18333.1,7100.0,101.0,5640.856914382064
0.02,0.39667,6.66667,1.18333.2,7100.0,101.0,5640.856914382064
0.02,0.39667,6.66667,1.18333.3,7100.0,101.0,5640.856914382064
0.02,0.39667,6.66667,1.25.1,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.2,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.3,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.4,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.5,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.6,4794.0,90.0,5611.019092039719
0.02,0.39667,6.66667,1.25.7,4794.0,90.0,5611.019092039719
0.02,0.39667,9.33333,1.05,,2947.0,7507.416630918906
0.02,0.39667,9.33333,1.11667,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.18333,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.25,5596.0,91.0,7139.890638675866
0.02,0.39667,9.33333,1.05.1,,2947.0,7507.416630918906
0.02,0.39667,9.33333,1.05.2,,2947.0,7507.416630918906
0.02,0.39667,9.33333,1.05.3,,2947.0,7507.416630918906
0.02,0.39667,9.33333,1.05.4,,2947.0,7507.416630918906
0.02,0.39667,9.33333,1.11667.1,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.11667.2,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.11667.3,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.11667.4,,122.0,7208.669689953725
0.02,0.39667,9.33333,1.18333.1,8285.0,101.0,7169.973243960802
0.02,0.39667,9.33333,1.18333.2,8285.0,101.0,7169.973243960802
