plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02035,0.54674,7.26562,1.14258,8636.0,109.0,4794.677629701482
0.02035,0.54674,7.26562,1.21914,4962.0,94.0,4756.672709361653
0.02035,0.54674,9.95312,1.21914,5643.0,94.0,5894.0053126856765
0.02035,0.5815,5.01562,1.20352,4657.0,96.0,3621.9239442861794
0.02035,0.5815,8.20312,1.1207,,117.0,4912.051954861223
0.02035,0.84572,5.01562,1.1207,6797.0,114.0,2200.1752067496827
0.02035,0.84572,5.01562,1.20352,3530.0,95.0,2157.453409037889
0.02035,0.84572,8.20312,1.20352,3819.0,95.0,2616.751731667674
0.02035,0.88049,7.26562,1.21914,3246.0,92.0,2203.1821645355467
0.02035,0.88049,9.95312,1.14258,5758.0,107.0,2539.733277861734
0.02105,0.19561,6.92188,1.12148,,121.0,6979.514640933824
0.02105,0.19561,9.42188,1.10898,,128.0,8803.563095413137
0.02105,0.35553,8.73438,1.14805,,109.0,6911.921336541274
0.02105,0.35553,8.73438,1.16055,9566.0,106.0,6904.961772101846
0.02105,0.35553,10.98438,1.16055,,107.0,8213.333039999063
0.02105,0.5224,8.73438,1.16055,7930.0,104.0,5472.938339549316
0.02105,0.5224,10.98438,1.14805,9791.0,108.0,6449.39069351751
0.02105,0.54326,6.92188,1.10898,,122.0,4577.027340450845
0.02105,0.54326,9.42188,1.10898,,122.0,5607.659144667309
0.02105,0.54326,9.42188,1.12148,,116.0,5599.337229501018
0.02176,0.2408,7.01562,1.15039,,109.0,6531.450380936643
0.02176,0.2408,10.20312,1.22383,7313.0,95.0,8606.64267402529
0.02176,0.24775,8.01562,1.1457,,110.0,7143.75015537014
0.02176,0.24775,11.20312,1.12852,,117.0,9246.8144490775
0.02176,0.24775,11.20312,1.1457,,111.0,9236.188128992566
0.02176,0.73447,8.01562,1.12852,7657.0,111.0,3404.057690817185
0.02176,0.73447,11.20312,1.1457,7202.0,107.0,4132.823318476658
0.02176,0.79705,7.01562,1.22383,3441.0,92.0,2688.7345213471085
0.02176,0.79705,10.20312,1.15039,6068.0,105.0,3287.5812397232753
0.02176,0.79705,10.20312,1.22383,3758.0,92.0,3253.114177303255
0.02246,0.36943,5.10938,1.23242,4473.0,92.0,4463.547672301038
0.02246,0.36943,7.10938,1.10742,,124.0,5595.595536979037
0.02246,0.4042,5.79688,1.16836,6821.0,102.0,4666.74479996424
0.02246,0.4042,7.54688,1.16836,7558.0,103.0,5548.153032146574
0.02246,0.4042,7.54688,1.18086,6889.0,100.0,5541.891004873796
0.02246,0.84225,5.10938,1.10742,7581.0,117.0,2133.2589728245725
0.02246,0.84225,5.10938,1.23242,2929.0,90.0,2070.8635562868794
0.02246,0.84225,7.10938,1.23242,3071.0,90.0,2337.570917147281
0.02246,0.86311,5.79688,1.18086,3897.0,98.0,2062.753060777091
0.02246,0.86311,7.54688,1.16836,4403.0,100.0,2271.247218313904
0.02316,0.36596,5.32812,1.18477,5931.0,99.0,4513.620918366879
0.02316,0.36596,5.64062,1.11445,,119.0,4715.368261343557
0.02316,0.36596,5.64062,1.18477,6052.0,99.0,4676.0004980671765
0.02316,0.41463,6.39062,1.20664,5286.0,95.0,4770.008030909944
0.02316,0.41463,6.39062,1.24258,4352.0,90.0,4754.767642848433
0.02316,0.41463,6.57812,1.20664,5343.0,95.0,4859.955121960003
0.02316,0.48416,6.39062,1.20664,4971.0,95.0,4361.013983805016
0.02316,0.48416,6.57812,1.24258,4141.0,90.0,4425.121729386016
0.02316,0.78314,5.32812,1.11445,7405.0,115.0,2435.6812445098385
0.02316,0.78314,5.64062,1.18477,4099.0,97.0,2453.7839588553743
0.02387,0.32076,10.29688,1.14961,,107.0,7331.872727786212
0.02387,0.32076,11.54688,1.09961,,128.0,8038.417515867446
0.02387,0.64756,4.35938,1.21367,3683.0,93.0,2752.024717567049
0.02387,0.64756,11.85938,1.15117,7508.0,105.0,4882.0350408724935
0.02387,0.72404,10.29688,1.09961,,121.0,3792.9379738727507
0.02387,0.72404,11.54688,1.09961,,122.0,4067.049185052514
0.02387,0.72404,11.54688,1.14961,6730.0,105.0,4036.9707801202358
0.02387,0.78662,4.35938,1.15117,4949.0,103.0,2193.1224702022805
0.02387,0.78662,11.85938,1.15117,6061.0,104.0,3464.7681431141687
0.02387,0.78662,11.85938,1.21367,4013.0,94.0,3434.9972746125127
0.02457,0.33814,9.32812,1.08477,,139.0,6554.169506110215
0.02457,0.33814,9.32812,1.21445,6084.0,94.0,6479.585933268945
0.02457,0.33814,9.64062,1.21445,6182.0,94.0,6639.138444354987
0.02457,0.60932,4.64062,1.10039,,122.0,3004.1959026498657
0.02457,0.60932,9.82812,1.06133,,173.0,4601.8022013248265
0.02457,0.81096,9.32812,1.21445,3572.0,92.0,2754.8829772216327
0.02457,0.81096,9.64062,1.08477,,128.0,2870.522720200292
0.02457,0.90135,4.64062,1.06133,,152.0,1753.04412901495
0.02457,0.90135,9.82812,1.06133,,152.0,2148.074442536155
0.02457,0.90135,9.82812,1.10039,7871.0,118.0,2117.6748907091282
0.02527,0.18865,7.98438,1.13555,,111.0,6682.235121286178
0.02527,0.18865,7.98438,1.17305,8235.0,101.0,6661.851256224843
0.02527,0.18865,11.73438,1.17305,,104.0,8943.258629373908
0.02527,0.32076,4.92188,1.17148,6189.0,101.0,4236.370694462052
0.02527,0.32076,11.42188,1.05898,,623.0,7639.26747540891
0.02527,0.46678,7.98438,1.17305,6432.0,100.0,4835.603735130314
0.02527,0.46678,11.73438,1.13555,,110.0,6355.113741309294
0.02527,0.86311,4.92188,1.05898,,157.0,1935.619233082798
0.02527,0.86311,4.92188,1.17148,3906.0,98.0,1863.658329799882
0.02527,0.86311,11.42188,1.17148,4400.0,99.0,2530.986328710821
0.02598,0.12955,8.01562,1.07539,,156.0,6970.414119355919
0.02598,0.12955,8.01562,1.24883,5362.0,90.0,6871.9679379106055
0.02598,0.12955,11.20312,1.07539,,156.0,8994.429409386204
0.02598,0.2408,8.01562,1.07539,,151.0,6258.75996182956
0.02598,0.2408,11.20312,1.24883,5839.0,92.0,7925.059792547524
0.02598,0.27557,5.95312,1.08945,,133.0,4933.880558010948
0.02598,0.27557,7.26562,1.12227,,114.0,5604.685094050839
0.02598,0.48416,5.95312,1.12227,8806.0,113.0,3885.0365794050426
0.02598,0.48416,7.26562,1.08945,,129.0,4400.998805443809
0.02598,0.48416,7.26562,1.12227,9400.0,113.0,4378.950323871553
0.02668,0.77271,7.23438,1.0668,,144.0,2648.25493240534
0.02668,0.77271,10.98438,1.0668,,144.0,3253.495992295281
0.02668,0.83529,4.17188,1.21523,2978.0,91.0,1834.596776202206
0.02668,0.83529,6.17188,1.19023,3587.0,95.0,2079.2746666983185
0.02668,0.93959,7.23438,1.0668,,139.0,1641.305603056212
0.02668,0.93959,10.98438,1.0668,,139.0,1802.166778656908
0.02668,0.93959,10.98438,1.0668.1,,139.0,1802.166778656908
0.02668,0.96045,4.17188,1.19023,3059.0,95.0,1353.647159211494
0.02668,0.96045,6.17188,1.19023,3095.0,95.0,1409.818628150037
0.02668,0.96045,6.17188,1.21523,2690.0,91.0,1399.180384747262
0.02738,0.49111,8.45312,1.10508,,119.0,4602.543336880151
0.02738,0.49111,8.45312,1.23164,4298.0,90.0,4538.742008440797
0.02738,0.49111,10.76562,1.10508,,119.0,5416.472632916066
0.02738,0.53979,4.45312,1.15195,5683.0,103.0,2988.599947083933
0.02738,0.53979,10.76562,1.23477,4433.0,91.0,4959.658054525891
0.02738,0.60236,8.45312,1.10508,,117.0,3884.911054323617
0.02738,0.60236,10.76562,1.23164,4204.0,91.0,4457.096073758044
0.02738,0.66494,4.45312,1.15195,5158.0,103.0,2524.7807325314034
0.02738,0.66494,4.45312,1.23477,3084.0,89.0,2487.615765783208
0.02738,0.66494,10.76562,1.15195,6423.0,103.0,3987.5966669985387
0.02809,0.42506,5.85938,1.06367,,160.0,3956.1782312498344
0.02809,0.42506,10.35938,1.06367,,160.0,5699.937829559332
0.02809,0.42506,10.35938,1.20117,5767.0,95.0,5615.334431025577
0.02809,0.44592,5.79688,1.06211,,163.0,3840.365834334872
0.02809,0.44592,8.04688,1.21211,4794.0,93.0,4590.380495165308
0.02809,0.56412,5.85938,1.20117,4183.0,94.0,3243.8701926941108
0.02809,0.56412,10.35938,1.06367,,153.0,4648.217081375607
0.02809,0.93264,5.79688,1.06211,,143.0,1591.977696640881
0.02809,0.93264,5.79688,1.21211,2786.0,91.0,1507.614074927287
0.02809,0.93264,8.04688,1.06211,,143.0,1694.128661600327
0.02879,0.14346,7.57812,1.2207,5534.0,92.0,5991.713517061438
0.02879,0.14346,10.89062,1.11602,,117.0,7910.078943485047
0.02879,0.78314,7.57812,1.11602,6898.0,111.0,2493.42970153174
0.02879,0.78314,10.89062,1.11602,7447.0,111.0,2965.5687094891246
0.02879,0.78314,10.89062,1.2207,3477.0,91.0,2914.5807603519925
0.02879,0.84572,4.14062,1.11289,6196.0,112.0,1785.972587448596
0.02879,0.84572,11.32812,1.17383,4211.0,98.0,2482.7593547926567
0.02879,0.88744,4.14062,1.11289,5963.0,111.0,1636.398594141684
